,0,1,2,3,4,5,6,7,8
78456,2016/6/28,23:45:21,2.0,0.0,0.03,-90.87,33.0,33.0,30
78457,2016/6/28,23:45:27,5.0,0.0,0.05,67.68,32.0,33.0,30
78458,2016/6/28,23:45:33,5.0,0.0,0.06,66.02,33.0,33.0,30
78459,2016/6/28,23:45:39,5.0,0.0,0.05,70.17,33.0,33.0,30
78460,2016/6/28,23:45:45,5.0,0.0,0.05,57.71,32.0,33.0,30
78461,2016/6/28,23:45:51,5.0,0.0,0.05,51.9,32.0,33.0,30
78462,2016/6/28,23:45:57,5.0,0.0,0.05,71.83,32.0,33.0,30
78463,2016/6/28,23:46:3,4.0,0.0,0.05,47.75,33.0,33.0,30
78464,2016/6/28,23:46:9,5.0,0.0,0.05,63.53,32.0,33.0,30
78465,2016/6/28,23:46:15,4.0,0.0,0.05,63.53,32.0,33.0,30
78466,2016/6/28,23:46:21,4.0,0.0,0.05,71.83,32.0,33.0,30
78467,2016/6/28,23:46:27,5.0,0.0,0.05,64.36,32.0,33.0,30
78468,2016/6/28,23:46:33,5.0,0.0,0.05,71.83,32.0,33.0,30
78469,2016/6/28,23:46:40,5.0,0.0,0.05,69.34,32.0,33.0,30
78470,2016/6/28,23:46:46,5.0,0.0,0.05,73.49,32.0,33.0,30
78471,2016/6/28,23:46:52,4.0,0.0,0.05,58.54,33.0,33.0,30
78472,2016/6/28,23:46:58,4.0,0.0,0.05,62.7,32.0,33.0,30
78473,2016/6/28,23:47:4,5.0,0.0,0.05,66.85,32.0,33.0,30
78474,2016/6/28,23:47:10,5.0,0.0,0.05,67.68,32.0,33.0,30
78475,2016/6/28,23:47:16,5.0,0.0,0.05,54.39,32.0,33.0,30
78476,2016/6/28,23:47:22,5.0,0.0,0.05,50.24,32.0,33.0,30
78477,2016/6/28,23:47:28,4.0,0.0,0.05,61.04,32.0,33.0,30
78478,2016/6/28,23:47:34,5.0,0.0,0.05,53.56,32.0,33.0,30
78479,2016/6/28,23:47:40,5.0,0.0,0.05,95.9,32.0,33.0,30
78480,2016/6/28,23:47:46,4.0,0.0,0.05,64.36,32.0,33.0,30
78481,2016/6/28,23:47:52,4.0,0.0,0.05,72.66,32.0,33.0,30
78482,2016/6/28,23:47:58,4.0,0.0,0.05,67.68,32.0,33.0,30
78483,2016/6/28,23:48:5,4.0,0.0,0.05,54.39,31.0,33.0,30
78484,2016/6/28,23:48:11,4.0,0.0,0.05,52.73,32.0,33.0,30
78485,2016/6/28,23:48:17,4.0,0.0,0.05,56.05,32.0,33.0,30
78486,2016/6/28,23:48:23,4.0,0.0,0.05,51.07,32.0,33.0,30
78487,2016/6/28,23:48:29,4.0,0.0,0.05,50.24,32.0,33.0,30
78488,2016/6/28,23:48:35,4.0,0.0,0.05,49.41,32.0,33.0,30
78489,2016/6/28,23:48:41,4.0,0.0,0.05,67.68,31.0,33.0,30
78490,2016/6/28,23:48:47,4.0,0.0,0.05,62.7,32.0,33.0,30
78491,2016/6/28,23:48:53,4.0,0.0,0.05,59.37,32.0,33.0,30
78492,2016/6/28,23:48:59,4.0,0.0,0.05,66.02,31.0,33.0,30
78493,2016/6/28,23:49:5,4.0,0.0,0.05,60.21,31.0,33.0,30
78494,2016/6/28,23:49:11,4.0,0.0,0.05,66.02,31.0,33.0,30
78495,2016/6/28,23:49:17,4.0,0.0,0.05,56.05,31.0,33.0,30
78496,2016/6/28,23:49:23,4.0,0.0,0.04,65.19,31.0,33.0,30
78497,2016/6/28,23:49:30,4.0,0.0,0.05,56.88,31.0,33.0,30
78498,2016/6/28,23:49:36,4.0,0.0,0.05,47.75,31.0,33.0,30
78499,2016/6/28,23:49:42,4.0,0.0,0.05,66.85,31.0,33.0,30
78500,2016/6/28,23:49:48,4.0,0.0,0.05,56.88,31.0,33.0,30
78501,2016/6/28,23:49:54,4.0,0.0,0.05,73.49,31.0,33.0,30
78502,2016/6/28,23:50:0,4.0,0.0,0.05,61.04,31.0,33.0,30
78503,2016/6/28,23:50:6,4.0,0.0,0.05,63.53,31.0,33.0,30
78504,2016/6/28,23:50:12,4.0,0.0,0.05,68.51,31.0,33.0,30
78505,2016/6/28,23:50:18,4.0,0.0,0.04,46.92,31.0,33.0,30
78506,2016/6/28,23:50:24,4.0,0.0,0.05,73.49,31.0,33.0,30
78507,2016/6/28,23:50:30,4.0,0.0,0.05,51.07,31.0,33.0,30
78508,2016/6/28,23:50:36,4.0,0.0,0.05,56.05,31.0,33.0,30
78509,2016/6/28,23:50:42,4.0,0.0,0.05,61.87,31.0,33.0,30
78510,2016/6/28,23:50:49,4.0,0.0,0.04,54.39,31.0,33.0,30
78511,2016/6/28,23:50:55,4.0,0.0,0.04,53.56,31.0,33.0,30
78512,2016/6/28,23:51:1,4.0,0.0,0.04,51.9,31.0,33.0,30
78513,2016/6/28,23:51:7,4.0,0.0,0.04,62.7,31.0,33.0,30
78514,2016/6/28,23:51:13,4.0,0.0,0.05,52.73,31.0,33.0,30
78515,2016/6/28,23:51:19,4.0,0.0,0.05,71.0,31.0,33.0,30
78516,2016/6/28,23:51:25,4.0,0.0,0.05,60.21,31.0,33.0,30
78517,2016/6/28,23:51:31,4.0,0.0,0.04,61.87,31.0,33.0,30
78518,2016/6/28,23:51:37,4.0,0.0,0.05,61.04,31.0,33.0,30
78519,2016/6/28,23:51:43,4.0,0.0,0.05,65.19,31.0,33.0,30
78520,2016/6/28,23:51:49,4.0,0.0,0.04,66.02,31.0,33.0,30
78521,2016/6/28,23:51:55,4.0,0.0,0.04,51.9,31.0,33.0,30
78522,2016/6/28,23:52:1,4.0,0.0,0.04,59.37,31.0,33.0,30
78523,2016/6/28,23:52:7,4.0,0.0,0.05,59.37,32.0,33.0,30
78524,2016/6/28,23:52:14,4.0,0.0,0.05,41.94,31.0,33.0,30
78525,2016/6/28,23:52:20,4.0,0.0,0.04,63.53,31.0,33.0,30
78526,2016/6/28,23:52:26,4.0,0.0,0.05,56.88,31.0,33.0,30
78527,2016/6/28,23:52:32,4.0,0.0,0.05,63.53,32.0,33.0,30
78528,2016/6/28,23:52:38,4.0,0.0,0.04,65.19,32.0,33.0,30
78529,2016/6/28,23:52:44,4.0,0.0,0.04,56.05,31.0,33.0,30
78530,2016/6/28,23:52:50,4.0,0.0,0.04,71.0,31.0,33.0,30
78531,2016/6/28,23:52:56,4.0,0.0,0.04,59.37,32.0,33.0,30
78532,2016/6/28,23:53:2,4.0,0.0,0.04,60.21,32.0,33.0,30
78533,2016/6/28,23:53:8,4.0,0.0,0.04,60.21,31.0,33.0,30
78534,2016/6/28,23:53:14,4.0,0.0,0.04,41.11,32.0,33.0,30
78535,2016/6/28,23:53:20,4.0,0.0,0.05,46.92,32.0,33.0,30
78536,2016/6/28,23:53:26,4.0,0.0,0.05,56.05,32.0,33.0,30
78537,2016/6/28,23:53:32,4.0,0.0,0.05,62.7,32.0,33.0,30
78538,2016/6/28,23:53:39,4.0,0.0,0.05,54.39,32.0,33.0,30
78539,2016/6/28,23:53:45,4.0,0.0,0.05,53.56,32.0,33.0,30
78540,2016/6/28,23:53:51,4.0,0.0,0.05,51.9,32.0,33.0,30
78541,2016/6/28,23:53:57,4.0,0.0,0.05,43.6,32.0,33.0,30
78542,2016/6/28,23:54:3,4.0,0.0,0.05,46.92,32.0,33.0,30
78543,2016/6/28,23:54:9,4.0,0.0,0.05,56.05,32.0,33.0,30
78544,2016/6/28,23:54:15,4.0,0.0,0.04,64.36,32.0,33.0,30
78545,2016/6/28,23:54:21,4.0,0.0,0.05,53.56,32.0,33.0,30
78546,2016/6/28,23:54:27,4.0,0.0,0.05,55.22,32.0,33.0,30
78547,2016/6/28,23:54:33,4.0,0.0,0.05,58.54,32.0,33.0,30
78548,2016/6/28,23:54:39,4.0,0.0,0.05,56.05,32.0,33.0,30
78549,2016/6/28,23:54:45,4.0,0.0,0.05,51.07,32.0,33.0,30
78550,2016/6/28,23:54:51,4.0,0.0,0.05,58.54,32.0,33.0,30
78551,2016/6/28,23:54:58,4.0,0.0,0.05,53.56,32.0,33.0,30
78552,2016/6/28,23:55:4,4.0,0.0,0.05,52.73,32.0,33.0,30
78553,2016/6/28,23:55:10,4.0,0.0,0.05,58.54,32.0,33.0,30
78554,2016/6/28,23:55:16,4.0,0.0,0.05,52.73,32.0,33.0,30
78555,2016/6/28,23:55:22,4.0,0.0,0.05,66.02,32.0,33.0,30
78556,2016/6/28,23:55:28,4.0,0.0,0.05,64.36,32.0,33.0,30
78557,2016/6/28,23:55:34,4.0,0.0,0.04,50.24,32.0,33.0,30
78558,2016/6/28,23:55:40,4.0,0.0,0.05,58.54,32.0,33.0,30
78559,2016/6/28,23:55:46,4.0,0.0,0.05,75.98,32.0,33.0,30
78560,2016/6/28,23:55:52,4.0,0.0,0.04,58.54,32.0,33.0,30
78561,2016/6/28,23:55:58,4.0,0.0,0.05,62.7,32.0,33.0,30
78562,2016/6/28,23:56:4,4.0,0.0,0.04,64.36,32.0,33.0,30
78563,2016/6/28,23:56:10,4.0,0.0,0.05,51.9,32.0,33.0,30
78564,2016/6/28,23:56:16,4.0,0.0,0.04,63.53,32.0,33.0,30
78565,2016/6/28,23:56:23,4.0,0.0,0.04,72.66,32.0,33.0,30
78566,2016/6/28,23:56:29,4.0,0.0,0.04,52.73,32.0,33.0,30
78567,2016/6/28,23:56:35,4.0,0.0,0.04,48.58,32.0,33.0,30
78568,2016/6/28,23:56:41,4.0,0.0,0.04,42.77,32.0,33.0,30
78569,2016/6/28,23:56:47,4.0,0.0,0.05,42.77,32.0,33.0,30
78570,2016/6/28,23:56:53,4.0,0.0,0.05,45.26,32.0,33.0,30
78571,2016/6/28,23:56:59,4.0,0.0,0.04,51.9,32.0,33.0,30
78572,2016/6/28,23:57:5,4.0,0.0,0.04,52.73,33.0,33.0,30
78573,2016/6/28,23:57:11,4.0,0.0,0.04,43.6,33.0,33.0,30
78574,2016/6/28,23:57:17,4.0,0.0,0.05,61.87,33.0,33.0,30
78575,2016/6/28,23:57:23,4.0,0.0,0.05,63.53,33.0,33.0,30
78576,2016/6/28,23:57:29,4.0,0.0,0.05,56.05,33.0,33.0,30
78577,2016/6/28,23:57:35,4.0,0.0,0.05,50.24,33.0,33.0,30
78578,2016/6/28,23:57:41,4.0,0.0,0.04,46.92,33.0,33.0,30
78579,2016/6/28,23:57:48,4.0,0.0,0.04,44.43,33.0,33.0,30
78580,2016/6/28,23:57:54,4.0,0.0,0.05,61.04,33.0,33.0,30
78581,2016/6/28,23:58:0,4.0,0.0,0.05,64.36,33.0,33.0,30
78582,2016/6/28,23:58:6,4.0,0.0,0.05,60.21,33.0,33.0,30
78583,2016/6/28,23:58:12,4.0,0.0,0.05,44.43,33.0,33.0,30
78584,2016/6/28,23:58:18,4.0,0.0,0.04,61.04,33.0,33.0,30
78585,2016/6/28,23:58:24,4.0,0.0,0.05,57.71,33.0,33.0,30
78586,2016/6/28,23:58:30,4.0,0.0,0.05,51.07,33.0,33.0,30
78587,2016/6/28,23:58:36,4.0,0.0,0.04,79.3,33.0,33.0,30
78588,2016/6/28,23:58:42,4.0,0.0,0.04,39.45,33.0,33.0,30
78589,2016/6/28,23:58:48,4.0,0.0,0.04,64.36,33.0,33.0,30
78590,2016/6/28,23:58:54,4.0,0.0,0.05,56.88,33.0,33.0,30
78591,2016/6/28,23:59:0,4.0,0.0,0.05,51.9,33.0,33.0,30
78592,2016/6/28,23:59:6,4.0,0.0,0.04,39.45,33.0,33.0,30
78593,2016/6/28,23:59:13,4.0,0.0,0.05,63.53,33.0,33.0,30
78594,2016/6/28,23:59:19,4.0,0.0,0.05,53.56,33.0,33.0,30
78595,2016/6/28,23:59:25,4.0,0.0,0.04,56.05,33.0,33.0,30
78596,2016/6/28,23:59:31,4.0,0.0,0.05,51.07,33.0,33.0,30
78597,2016/6/28,23:59:37,4.0,0.0,0.04,51.07,33.0,33.0,30
78598,2016/6/28,23:59:43,4.0,0.0,0.04,57.71,33.0,33.0,30
78599,2016/6/28,23:59:49,4.0,0.0,0.05,54.39,33.0,33.0,30
78600,2016/6/28,23:59:55,4.0,0.0,0.04,51.07,33.0,33.0,30
